xInput,yInput
0.06,0.644913748
0.08,0.460913773
0.1,0.31703699
0.12,0.184195197
0.14,-0.001157899
0.16,-0.163680811
0.18,-0.226196078
0.24,-0.540733194
0.28,-0.711990514
0.32,-0.896319723
0.36,-1.199541672
0.4,-1.177813513
0.44,-1.335410137
0.48,-1.248185734
0.52,-1.370581258
0.56,-1.420829093
0.6,-1.638105096
0.64,-1.704722333
0.68,-1.748943979
0.72,-1.730143524
0.76,-1.744106631
0.8,-1.467977875
0.82,-1.329425367
0.84,-1.327358934
0.86,-1.286671846
0.88,-1.29203807
0.9,-1.227357844
0.92,-1.128029814
0.94,-1.096450199
0.96,-0.976712656
