xInput,yInput
0.06,0.32131231
0.08,-0.440070802
0.1,-0.691271579
0.12,-0.911731229
0.14,-1.039767127
0.16,-1.388985166
0.18,-1.655064519
0.2,-1.856577858
0.24,-2.303981045
0.28,-2.633266411
0.32,-2.844684229
0.36,-3.011993115
0.4,-3.192631776
0.44,-3.300378065
0.48,-3.298853076
0.52,-3.297760511
0.56,-3.295127085
0.6,-3.301247089
0.64,-2.996511672
0.68,-2.828230115
0.72,-2.460683111
0.76,-2.111850363
0.8,-1.625312451
0.82,-1.467090913
0.84,-1.273508922
0.86,-1.048061445
0.88,-0.806094069
0.9,-0.806092687
0.92,-0.733005258
0.94,-0.343165326
0.96,-0.236966282
