xInput,yInput
0.06,-0.189767948
0.08,	-0.227734728
0.1,	-0.273752925
0.12,	-0.306189991
0.14,	-0.334231449
0.16,	-0.353679631
0.18,	-0.368512841
0.2,	-0.38369957
0.24,	-0.415532886
0.28,	-0.44532942
0.32,	-0.455392794
0.36,	-0.460087915
0.4,	-0.45621278
0.44,	-0.451402116
0.48,	-0.433540683
0.52,	-0.414253456
0.56,	-0.389934354
0.6,	-0.371492264
0.64,	-0.328711956
0.68,	-0.305951232
0.72,	-0.265046244
0.76,	-0.222528929
0.8,	-0.17395563
0.82,	-0.145394636
0.84,	-0.115925642
0.86,	-0.080897343
0.88,	-0.043497889
0.9,	-0.021960506
0.92,	0.022690751
0.94,	0.06777323
0.96,	0.146532469
